"group","country","x","y","size","shape"
"Latin America & Caribbean","Argentina",57.72,11199,50,"circle"
"East Asia & Pacific","Australia",65.06,51846,50,"circle"
"Europe & Central Asia","Austria",69.52,46660,50,"circle"
"Europe & Central Asia","Azerbaijan",83.36,5843,50,"circle"
"Latin America & Caribbean","Bolivia",51.94,1981,50,"circle"
"Latin America & Caribbean","Brazil",47.13,11124,50,"circle"
"Europe & Central Asia","Bulgaria",63.99,6753,50,"circle"
"North America","Canada",66.32,47464,50,"circle"
"Latin America & Caribbean","Chile",49.55,12785,50,"circle"
"East Asia & Pacific","China",57.94,4515,50,"circle"
"Latin America & Caribbean","Colombia",46.51,6251,50,"circle"
"Latin America & Caribbean","Costa Rica",50.82,7986,50,"circle"
"Europe & Central Asia","Czech Republic",73.87,19764,50,"circle"
"Europe & Central Asia","Denmark",70.92,57648,50,"circle"
"Latin America & Caribbean","Dominican Republic",52.93,5442,50,"circle"
"Middle East & North Africa","Egypt, Arab Rep.",69.25,2668,50,"circle"
"Europe & Central Asia","France",66.9,40706,50,"circle"
"Europe & Central Asia","Germany",69.87,41788,50,"circle"
"Europe & Central Asia","Greece",63.32,26842,50,"circle"
"Latin America & Caribbean","Guatemala",47.65,2806,50,"circle"
"Europe & Central Asia","Hungary",69.45,13009,50,"circle"
"South Asia","India",66.1,1388,50,"circle"
"East Asia & Pacific","Indonesia",64.43,3125,50,"circle"
"Middle East & North Africa","Iran, Islamic Rep.",62.65,6300,50,"circle"
"Europe & Central Asia","Ireland",67.48,48261,50,"circle"
"Middle East & North Africa","Israel",57.22,30736,50,"circle"
"Europe & Central Asia","Italy",64.84,35878,50,"circle"
"East Asia & Pacific","Japan",67.89,42909,50,"circle"
"Middle East & North Africa","Jordan",66.34,4371,50,"circle"
"Europe & Central Asia","Kazakhstan",73.65,9071,50,"circle"
"Europe & Central Asia","Luxembourg",65.21,103267,50,"circle"
"East Asia & Pacific","Malaysia",53.74,9069,50,"circle"
"Latin America & Caribbean","Mexico",51.93,8851,50,"circle"
"Middle East & North Africa","Morocco",59.28,2858,50,"circle"
"Europe & Central Asia","Netherlands",72.01,50341,50,"circle"
"Sub-Saharan Africa","Nigeria",57.03,2315,50,"circle"
"South Asia","Pakistan",70.41,1043,50,"circle"
"Latin America & Caribbean","Panama",48.33,7959,50,"circle"
"Latin America & Caribbean","Peru",55.27,5056,50,"circle"
"East Asia & Pacific","Philippines",56.96,2145,50,"circle"
"Europe & Central Asia","Portugal",63.96,22540,50,"circle"
"Europe & Central Asia","Romania",72.67,8297,50,"circle"
"Europe & Central Asia","Russian Federation",58.41,10675,50,"circle"
"Sub-Saharan Africa","South Africa",36.62,7390,50,"circle"
"Europe & Central Asia","Spain",64.11,30738,50,"circle"
"South Asia","Sri Lanka",61.42,2747,50,"circle"
"Europe & Central Asia","Sweden",72.68,52076,50,"circle"
"East Asia & Pacific","Thailand",60.74,5112,50,"circle"
"Middle East & North Africa","Tunisia",64.19,4177,50,"circle"
"Europe & Central Asia","Turkey",59.83,10112,50,"circle"
"Europe & Central Asia","Ukraine",75.45,2974,50,"circle"
"Europe & Central Asia","United Kingdom",67.43,38293,50,"circle"
"North America","United States",58.94,48374,50,"circle"
"Latin America & Caribbean","Uruguay",58.13,11938,50,"circle"
"East Asia & Pacific","Vietnam",61.3,1334,50,"circle"
