"country","group","x","y","size","shape"
"Algeria","1",21.0,4870.0,50,"circle"
"Angola","1",96.0,4180.0,50,"circle"
"Armenia","1",45.0,3880.0,50,"circle"
"Belize","1",41.0,4420.0,50,"circle"
"Bolivia","1",109.0,3080.0,50,"circle"
"Cabo Verde","1",72.0,3290.0,50,"circle"
"Congo, Rep.","1",196.0,2540.0,50,"circle"
"Egypt, Arab Rep.","1",12.0,3340.0,50,"circle"
"El Salvador","1",86.0,3940.0,50,"circle"
"Fiji",1,30.0,4800.0,50,"circle"
"Georgia","1",60.0,4160.0,50,"circle"
"Guatemala","1",101.0,3590.0,50,"circle"
"Guyana","1",77.0,4090.0,50,"circle"
"Indonesia","1",51.0,3440.0,50,"circle"
"Jamaica","1",62.0,5010.0,50,"circle"
"Jordan","1",13.0,4680.0,50,"circle"
"Kiribati","1",23.0,3230.0,50,"circle"
"Mongolia","1",165.0,3830.0,50,"circle"
"Morocco","1",33.0,3040.0,50,"circle"
"Nigeria","1",40.0,2820.0,50,"circle"
"Paraguay","1",76.0,4220.0,50,"circle"
"Philippines","1",96.0,3540.0,50,"circle"
"Samoa","1",22.0,3930.0,50,"circle"
"Sri Lanka","1",200.0,3800.0,50,"circle"
"Swaziland","1",190.0,3230.0,50,"circle"
"Tunisia","1",4.0,3970.0,50,"circle"
"Kuwait","2",20.0,40930.0,50,"circle"
"United Arab Emirates","2",22.0,43170.0,50,"circle"
"Barbados","3",23.0,14800.0,50,"circle"
"Chile","3",22.0,14060.0,50,"circle"
"Oman","3",36.0,16920.0,50,"circle"
"Trinidad and Tobago","3",59.0,18600.0,50,"circle"
"Uruguay","3",25.0,15720.0,50,"circle"
"Afghanistan","4",166.0,630.0,50,"circle"
"Bangladesh","4",120.0,1190.0,50,"circle"
"Benin","4",52.0,860.0,50,"circle"
"Burkina Faso","4",167.0,660.0,50,"circle"
"Cambodia","4",102.0,1070.0,50,"circle"
"Cameroon","4",64.0,1330.0,50,"circle"
"Central African Republic","4",349.0,320.0,50,"circle"
"Chad","4",276.0,880.0,50,"circle"
"Cote d'Ivoire","4",94.0,1410.0,50,"circle"
"Ethiopia","4",244.0,590.0,50,"circle"
"Ghana","4",22.0,1480.0,50,"circle"
"Guinea","4",118.0,470.0,50,"circle"
"Guinea-Bissau","4",152.0,590.0,50,"circle"
"Haiti","4",530.0,820.0,50,"circle"
"Honduras","4",85.0,2270.0,50,"circle"
"India","4",110.0,1590.0,50,"circle"
"Kenya","4",136.0,1340.0,50,"circle"
"Kyrgyz Republic","4",41.0,1170.0,50,"circle"
"Lao PDR","4",131.0,1730.0,50,"circle"
"Liberia","4",261.0,380.0,50,"circle"
"Madagascar","4",227.0,420.0,50,"circle"
"Malawi","4",139.0,350.0,50,"circle"
"Mali","4",23.0,790.0,50,"circle"
"Mozambique","4",188.0,580.0,50,"circle"
"Nepal","4",49.0,730.0,50,"circle"
"Nicaragua","4",126.0,1940.0,50,"circle"
"Niger","4",58.0,390.0,50,"circle"
"Pakistan","4",171.0,1440.0,50,"circle"
"Rwanda","4",240.0,700.0,50,"circle"
"Senegal","4",66.0,1000.0,50,"circle"
"Sierra Leone","4",162.0,630.0,50,"circle"
"Solomon Islands","4",67.0,1940.0,50,"circle"
"Tajikistan","4",258.0,1240.0,50,"circle"
"Tanzania","4",237.0,910.0,50,"circle"
"Timor-Leste","4",190.0,1920.0,50,"circle"
"Togo","4",85.0,540.0,50,"circle"
"Uganda","4",170.0,670.0,50,"circle"
"Uzbekistan","4",31.0,2150.0,50,"circle"
"Vietnam","4",89.0,1980.0,50,"circle"
"Zambia","4",411.0,1500.0,50,"circle"
"Zimbabwe","4",264.0,850.0,50,"circle"
"Brazil","5",11.0,9850.0,50,"circle"
"Costa Rica","5",39.0,10210.0,50,"circle"
"Gabon","5",19.0,9210.0,50,"circle"
"Kazakhstan","5",19.0,11580.0,50,"circle"
"Malaysia","5",17.0,10570.0,50,"circle"
"Mauritius","5",36.0,9610.0,50,"circle"
"Mexico","5",30.0,9710.0,50,"circle"
"Panama","5",69.0,12050.0,50,"circle"
"Suriname","5",58.0,9300.0,50,"circle"
"Turkey","5",1.0,9950.0,50,"circle"
"Korea, Rep.","6",4.0,27440.0,50,"circle"
"Saudi Arabia","6",10.0,23550.0,50,"circle"
"Azerbaijan","7",13.0,6560.0,50,"circle"
"Botswana","7",183.0,6510.0,50,"circle"
"China","7",78.0,7820.0,50,"circle"
"Colombia","7",67.0,7130.0,50,"circle"
"Dominican Republic","7",88.0,6130.0,50,"circle"
"Ecuador","7",72.0,6010.0,50,"circle"
"Iraq","7",188.0,5550.0,50,"circle"
"Lebanon","7",33.0,7930.0,50,"circle"
"Maldives","7",39.0,6670.0,50,"circle"
"Namibia","7",323.0,5210.0,50,"circle"
"Peru","7",54.0,6200.0,50,"circle"
"South Africa","7",14.0,6050.0,50,"circle"
"St. Vincent and the Grenadines","7",46.0,6670.0,50,"circle"
"Thailand","7",57.0,5620.0,50,"circle"
"Turkmenistan","7",24.0,7510.0,50,"circle"
